Date,Open,High,Low,Close,Adj Close,Volume
2015-03-31,60.720001,60.939999,60.419998,60.580002,56.082237,17346700
2015-04-01,60.410000,60.570000,59.730000,59.950001,55.867886,18077800
2015-04-02,60.070000,60.700001,60.000000,60.520000,56.399082,12697800
2015-04-06,59.919998,60.750000,59.650002,60.470001,56.352486,12025200
2015-04-07,61.150002,61.500000,60.849998,60.849998,56.706604,11505500
2015-04-08,61.060001,61.560001,60.939999,61.049999,56.892990,11734000
2015-04-09,61.270000,61.580002,60.830002,61.470001,57.284393,11728500
2015-04-10,61.349998,61.779999,61.200001,61.700001,57.498730,9869700
2015-04-13,61.639999,62.270000,61.500000,62.070000,57.843529,15468700
2015-04-14,62.959999,63.610001,62.740002,63.040001,58.747494,33742000
2015-04-15,63.080002,64.480003,63.009998,64.209999,59.837818,28732200
2015-04-16,64.080002,64.269997,63.660000,63.810001,59.465054,16640500
2015-04-17,63.250000,63.400002,62.490002,62.840000,58.561100,20221200
2015-04-20,63.220001,63.520000,63.139999,63.240002,58.933865,12716700
2015-04-21,63.330002,63.599998,62.130001,62.310001,58.067200,14985100
2015-04-22,62.650002,63.150002,62.029999,62.939999,58.654293,14484700
2015-04-23,62.790001,63.209999,62.599998,62.799999,58.523819,12851300
2015-04-24,62.630001,62.840000,62.340000,62.599998,58.337444,9597500
2015-04-27,62.700001,63.150002,62.310001,62.340000,58.095154,11146400
2015-04-28,62.490002,62.779999,61.770000,62.759998,58.486546,12307800
2015-04-29,62.560001,63.889999,62.459999,63.599998,59.269360,17601200
2015-04-30,63.580002,63.880001,62.919998,63.259998,58.952511,16840900
2015-05-01,63.700001,63.869999,63.330002,63.610001,59.278671,11640100
2015-05-04,63.680000,64.870003,63.639999,64.720001,60.313095,14972500
2015-05-05,64.510002,65.320000,64.290001,64.400002,60.014881,17692400
2015-05-06,64.529999,65.070000,63.419998,63.919998,59.567558,18087900
2015-05-07,63.669998,64.599998,63.250000,64.500000,60.108070,15039900
2015-05-08,64.970001,65.650002,64.599998,65.489998,61.030655,16802600
2015-05-11,65.260002,65.639999,65.080002,65.449997,60.993385,13798800
2015-05-12,65.309998,65.540001,64.760002,65.360001,60.909515,12762200
2015-05-13,65.419998,65.629997,65.059998,65.519997,61.058613,11874100
2015-05-14,65.830002,66.180000,65.709999,66.050003,61.552521,11855500
2015-05-15,66.129997,66.160004,65.440002,65.879997,61.394096,11152100
2015-05-18,65.800003,66.540001,65.800003,66.419998,61.897331,10505500
2015-05-19,66.769997,67.190002,66.570000,67.010002,62.447163,14282700
2015-05-20,66.949997,67.029999,66.400002,66.480003,61.953262,12446000
2015-05-21,66.139999,66.680000,66.010002,66.650002,62.111668,12934500
2015-05-22,66.629997,66.830002,66.320000,66.470001,61.943932,9296900
2015-05-26,66.199997,66.290001,65.309998,65.730003,61.254322,15571300
2015-05-27,65.949997,66.650002,65.820000,66.470001,61.943932,10963700
2015-05-28,66.360001,66.400002,65.739998,66.199997,61.692314,11797400
2015-05-29,66.180000,66.220001,65.360001,65.779999,61.300922,14240700
2015-06-01,65.989998,66.660004,65.970001,66.080002,61.580486,11899300
2015-06-02,65.830002,66.389999,65.580002,66.019997,61.524570,12721500
2015-06-03,66.430000,67.129997,66.269997,66.699997,62.158257,12927300
2015-06-04,66.309998,67.050003,66.010002,66.330002,61.813465,13863300
2015-06-05,67.370003,67.839996,67.010002,67.419998,62.829239,20801100
2015-06-08,67.459999,67.550003,66.809998,66.889999,62.335331,14486200
2015-06-09,66.949997,67.269997,66.470001,67.180000,62.605591,13263500
2015-06-10,67.589996,68.500000,67.470001,68.260002,63.612045,17478900
2015-06-11,68.360001,68.680000,68.150002,68.519997,63.854336,13739900
2015-06-12,68.309998,68.540001,67.870003,68.250000,63.602726,11804700
2015-06-15,67.580002,68.209999,67.300003,67.989998,63.360428,14082300
2015-06-16,67.769997,68.519997,67.620003,68.370003,63.714561,11692800
2015-06-17,68.410004,68.680000,68.040001,68.139999,63.500217,14521900
2015-06-18,68.349998,68.820000,67.900002,68.779999,64.096634,16759600
2015-06-19,68.459999,68.669998,67.919998,68.080002,63.444302,21606400
2015-06-22,68.870003,69.290001,68.750000,68.959999,64.264389,14306700
2015-06-23,69.349998,69.820000,69.190002,69.750000,65.000587,15736900
2015-06-24,69.510002,69.769997,68.910004,69.019997,64.320282,16995000
